Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
customer-focused-universal-rustic-concrete-table-frozen-red,Customer-focused Universal Rustic Concrete Table - Frozen red,Aut provident enim nihil non. Aut eveniet assumenda aut occaecati. Nesciunt est rerum enim aut eius. Doloremque eum nihil amet. Dolores vero qui totam ab consequuntur hic. Libero aut nulla est excepturi voluptates fugiat est animi aut.,"Raynor, Rath and Krajcik",Jewelery,data-generator,true,Title,Granite indigo - nbx-7nq,,,,,"",34,shopify,44,deny,manual,260.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,
customer-focused-universal-rustic-concrete-table-frozen-red,,,,,,,,Frozen lavender - syh-6zz,,,,,"",0,shopify,17,deny,manual,51.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
progressive-function-based-incredible-concrete-hat-concrete-indigo,Progressive Function-based Incredible Concrete Hat - Concrete indigo,Omnis voluptatem consectetur sapiente. Maiores incidunt eum et a deleniti ex. Aperiam aspernatur et ullam facilis sapiente repellendus a. Perspiciatis temporibus id alias officia in voluptatum voluptatem. Maxime officia illo qui est. Et alias atque.,Kulas LLC,Clothing,data-generator,true,Title,Wooden lavender - 68o-k15,,,,,"",0,shopify,23,deny,manual,177.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
progressive-function-based-incredible-concrete-hat-concrete-indigo,,,,,,,,Rubber cyan - imb-d6v,,,,,"",311,shopify,40,deny,manual,62.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
expanded-small-plastic-hat,Expanded Small Plastic Hat,Nemo ut similique. Cumque aliquid qui non magni voluptas atque aut. Iusto corrupti maiores et tempora quia quia sunt. Nihil non modi quo recusandae voluptas tenetur illo. Qui et ut at totam similique. Est vel aspernatur ut sit soluta repudiandae quia laborum.,Schamberger - Yost,Outdoors,data-generator,true,Title,Metal yellow - o9g-yad,,,,,"",427,shopify,50,deny,manual,122.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/stack-of-t-shirts.jpg?v=1529421103,1,,false,,,,,,,,,,,,,,,,,g,
expanded-small-plastic-hat,,,,,,,,Rubber orange - 3rc-zrc,,,,,"",449,shopify,43,deny,manual,203.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
expanded-small-plastic-hat,,,,,,,,Granite mint green - glg-ocs,,,,,"",455,shopify,9,deny,manual,71.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
customizable-sleek-metal-soap,Customizable Sleek Metal Soap,Optio animi dolore aut libero a tempora illo. Exercitationem hic rem molestias recusandae eos vel error soluta. Architecto neque dolores a et quam laboriosam et vel.,"Koch, Schaden and Koss",Computers,data-generator,true,Title,Cotton grey - iuo-lcy,,,,,"",0,shopify,46,deny,manual,150.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
customizable-sleek-metal-soap,,,,,,,,Granite blue - sgh-7vu,,,,,"",114,shopify,25,deny,manual,60.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
customizable-sleek-metal-soap,,,,,,,,Metal purple - b42-lv2,,,,,"",12,shopify,12,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
